# 人物|所属家ID|立場|父所属不明時の地域|実父照合|判断
室賀久太夫|-|浪人|信濃国/小県郡|室賀正武|正武の子で室賀の家の本拠圏を代替。1584年以後の出家・還俗や上杉奉公を遡及せず、1546年の年齢・所属は保留。
小川元政|-|元服前|近江国/*|父未確認|記事の永禄6年と1564年に換算差があるが双方とも1546年より後。近江豪族の出自を代替とし将来用配置。
小川次郎兵衛|-|元服前|近江国/*|父未確認|1570年頃出生の紹介を参照。兄元政と同じ近江の出自を使い、兄や後年主君から所属を継承しない。
尾藤道休|-|浪人|摂津国/西成郡|父未確認|1589年に大坂天満本願寺の寺内にいた記事を後年地縁として代替。1546年の所属・身分は不明。
市橋利尚|saito|武将|美濃国/池田郡|市橋利信|斎藤道三・義龍父子に仕えた池田郡の国人という紹介から、1546年も斎藤家武将と暫定推定。年代未確定のため出仕は保留。
恵光寺快川|-|浪人|甲斐国/*|恵光寺宗賢（推定）|高森領主の恵光寺武田家とする紹介を参照。甲斐の地縁で代替し、1575年の戦死記事だけから1546年の所属・生存を確定しない。
教来石信保|takeda|武将|甲斐国/*|教来石信明|信虎に仕え教来石を領した家伝を基に、甲斐武田家への継続奉公を暫定推定。1546年存命と信春の実父同定は留保し出仕無効。
斎藤市郎左衛門|-|元服前|美濃国/加茂郡|斎藤利治|1582年の父利治の死後に加治田で養育された世代として将来用。徳元との同定説は保留。
斎藤義興|-|元服前|美濃国/加茂郡|斎藤利治|利治の子で1582年以後に加治田で養育された記事を使用。将来用配置とし、後年の織田秀信・池田奉公を遡及しない。
明石宣行|-|元服前|備前国/*|明石景行|父景行・祖父全登とする記事は世代と家督相続年に不整合を含む。将来用の保留人物として大坂以前の岡利勝与力の備前活動圏で代替。
有吉立行|-|元服前|山城国/*|有吉立言|1559年出生。実父立言を照合。細川元常家中の京都周辺の活動圏を代替とし、後年の豊前領有は使わない。
杉善右衛門|-|浪人|摂津国/西成郡|父未確認|豊臣家臣・大坂七手組の後年活動だけを地域代替に使用。1546年の所属・年齢を確定しない。
村上吉直|-|浪人|備後国/御調郡|村上吉充（3代・未同定）|因島村上氏の1499年書状が主な根拠。因島周辺の地縁で代替するが、1546年の存命・当主身分は未確認で出仕保留。
村上高国|-|元服前|信濃国/東筑摩郡|会田清幸|1571年出生と会田清幸の子という紹介を暫定採用。人物・家督同定に疑義を残し会田の出自圏で将来用配置。
松平正朝|-|元服前|三河国/額田郡|松平康安|大草松平家の康安の子という世代から未誕生を推定。大草の家の本拠圏を代替に用い出生年を確定しない。
柴田勝里|-|浪人|尾張国/*|柴田勝家|士林泝洄に勝家の庶子・信雄家臣として見えるが生没年不詳。父の所属は成人かも不明な本人へ自動継承せず、尾張に保留配置。
武田義頼|-|元服前|近江国/蒲生郡|六角義実|1548年に幼名龍水丸だったという伝承から元服前を仮設定。実父義実の実在性にも疑義があり、父の所属不明は維持。若狭移動前の近江で代替。
毛利長門|-|浪人|摂津国/西成郡|父未確認|大坂落城時の記録に見える人物。秀就と同名官途で混同せず、後年大坂の活動圏に保留配置。
毛谷村六助|-|浪人|肥後国/飽田郡|父未確認|貴田孫兵衛の軍歴と歌舞伎の六助像を区別。清正家中の後年の隈本周辺を代替とし、1546年の所属は不明。
水越勝重|jinbo|武将|越中国/婦負郡|父未確認|富山市資料の神保長職家臣・富山城縄張の伝承を参照し神保家武将を暫定採用。築城年は諸説あり、1546年の出仕は年代確認まで保留。
江上家種|-|元服前|肥前国/神崎郡|龍造寺隆信|隆信の次男という世代から将来用と推定。勢福寺城の後年本拠圏で代替し養父江上武種から所属を継承しない。
河尻鎮行|-|浪人|美濃国/加茂郡|河尻秀隆|秀隆の子・秀長の弟で長蔵寺と家の地縁を参照。1546年の年齢・奉公を確認できず、所属不明の仮配置。
津川義勝|-|元服前|越前国/敦賀郡|父未確定（元明の子・弟説）|元明の子・弟のいずれの説でも若い世代として将来用と推定。実父は同定保留。若狭が地図未収録のため近接する敦賀郡を代替使用。
洲賀才蔵|-|浪人|尾張国/愛知郡|父未確認|1555年に織田信次に従った記事は1546年奉公を保証しない。末森周辺の地縁で代替し所属不明を維持。
渋川貞基|ouchi|武将|筑前国/那珂郡|父未確認|大内義隆に擁立された九州探題義基との同定を暫定採用。大内家の配下相当のゲーム立場とし史料上の官職とは区別。年代未確定。
湯浅正寿|-|元服前|摂津国/西成郡|湯浅直勝|母が織田長益の娘という世代から将来用と推定。父直勝を照合し大坂の後年活動圏を代替に使用。
生駒正純|-|浪人|尾張国/*|父未確認|信雄家臣という紹介と宇陀崩れの記事には世代混同の疑いがある。尾張生駒氏の推定地縁だけで保留配置し出仕無効。
矢野正倫|-|浪人|伯耆国/會見郡|父未確認|米子の中村家重臣だった後年活動圏を代替に使用。1546年の家中・年齢を確定せず所属不明。
石川伊予守|-|浪人|伊予国/新居郡|父未確定（備中石川氏）|1522年に高峠へ移った虎之助という伝承には同時代の裏付け不足。伊予新居の地縁で代替し、人物・身分は未確定のまま。
福田兼親|-|浪人|肥前国/西彼杵郡|福田忠兼|父忠兼と福田城の地縁を参照。室町期の同名先祖とは区別し、後年の大村臣従を1546年へ遡及しない。
篠原重之|-|元服前|肥後国/下益城郡|父未確定（木村重成の弟説）|木村重成の弟・1693年に93歳没という伝承から将来用と推定。海東郷の後年地縁で代替し家系の実証は保留。
粟屋助太夫|-|元服前|摂津国/西成郡|粟屋勝家|勝家の子・勝久の孫という世代から将来用と推定。若狭未収録のため本人の後年の大坂勤務圏で代替。
細川晴宣|-|浪人|和泉国/大鳥郡|畠山尚順|1524年の菱木での合戦が地域の根拠。以後の動静・1546年の存命が不明なため和泉守護と確定せず保留配置。
菅沼正勝|-|元服前|信濃国/北佐久郡|菅沼正貞|父が武田氏に捕らわれていた時の小諸出生という記事から将来用と推定。父正貞を照合し後年の紀州配置は遡及しない。
藤堂氏勝|-|浪人|伊予国/北宇和郡|父未確認|1590年から高虎に仕え板嶋城の普請に関わった地域を代替に使用。本姓長井氏で藤堂血族とはせず、1546年所属不明。
藤堂高重|-|元服前|伊勢国/安濃郡|藤堂高虎|実父高虎が1546年には未誕生のため本人も将来用。後年の津の家の本拠を代替とする。
赤座直規|-|元服前|尾張国/愛知郡|父未確認|1615年に50歳前後という紹介から未誕生を推定。藤島村出生の地縁を使い、具体的生年は確定しない。
遠山直勝|-|元服前|武蔵国/豊島郡|遠山直景（1587年没・未同定）|1587年に幼名犬千世で継いだ世代として将来用。同名の先代直景へ父を誤接続せず、江戸遠山氏の活動圏で代替。
酒井忠勝（庄内）|-|元服前|三河国/額田郡|酒井家次|1594年出生、実父は家次。庄内の忠勝Q5367620をIDで扱い、小浜の同名Q7402768と別人物のまま家の出自圏に将来用配置。
酒井忠勝（小浜）|-|元服前|三河国/額田郡|酒井忠利|1587年出生、実父は忠利。小浜の忠勝Q7402768をIDで扱い、庄内の同名Q5367620と別人物のまま家の出自圏に将来用配置。
酒井忠勝 (左衛門尉系第2世)|-|浪人|三河国/額田郡|酒井氏忠|井田の酒井家系譜と享禄期の記録を参照。江戸初期の同名二人と区別し1546年存命・奉公を確定せず出仕保留。
野口長宗|-|浪人|阿波国/板野郡|父未確定（菅弘宗・三好実休説）|志知城の地縁を代替に使用。出自と1546年の所属に異説・未確認点があるため家は不明のまま。 淡路国が現行地図に未収録のため、対岸の阿波国板野郡で代替。本人の居所や所属家の領地とは認定しない。
金丸正直|-|浪人|甲斐国/*|金丸虎義|虎義の六男という系譜と甲斐の家の地縁を参照。後年の信勝小姓頭を遡及せず1546年の年齢・所属は保留。
長繁由|-|浪人|武蔵国/比企郡|父未確認|1590年の松山城守備を地域代替の根拠とする。後年の北条・水戸徳川奉公を1546年へ遡及しない。
長野助盛|-|浪人|豊前国/京都郡|長野胤盛|馬ヶ岳・等覚寺城の地縁を参照。秋月種信との混同を避け、1560年代以降の主従を遡及せず所属不明。
長野道賢|-|浪人|上野国/西群馬郡|長野道安（未同定）|厩橋の地縁を使用。道安・賢忠との続柄や彦太郎との異同を保留し、1553年の継承を1546年へ移さない。
間宮直元|-|元服前|武蔵国/久良岐郡|間宮康信|1571年出生。実父康信と笹下の家の本拠を照合し、後年の下総知行を遡及しない。
難波田憲次|-|浪人|武蔵国/比企郡|大森明昇|1590年の松山城と上田氏配下の活動圏を代替に使用。母方難波田家継承と実父大森明昇を区別し1546年所属は保留。
難波田憲重|uesugi_ogigayatsu|武将|武蔵国/入間郡|難波田広定（諸説）|1537年以降の扇谷上杉家の重臣という記事を採用。1546年没の前後が開始日に対して未確定のため出仕保留。難波田城の地縁を参照。
青木長三郎|-|浪人|甲斐国/*|父未確定（青山虎丸との異同）|津金衆との紹介を甲斐の地域代替に用いる。青山長三郎・虎丸との同定を保留し父や家康家臣化を1546年に確定しない。
青野重貞|-|浪人|三河国/碧海郡|本多俊正|正信の兄・俊正の子という系譜を参照。1563年の家康方参加から1546年の所属は断定せず、家の三河地縁で代替。
須田信正|-|浪人|信濃国/上高井郡|須田信頼|須田郷・福島城の地縁を使用。父子の武田転属時期と1546年身分を確定せず所属不明。
飯沼勘平|-|浪人|美濃国/厚見郡|父未確認|織田秀信の岐阜城家臣という後年地縁を代替に使用。生没年・1546年の家中は不明のまま。
飯田又左衛門|-|元服前|尾張国/丹羽郡|飯田直政|雲光院の弟という世代から将来用を推定。父直政を照合し、後年の犬山での活動圏を代替として使用。
高木左吉|-|浪人|尾張国/*|河合某（未同定）|後年の信長馬廻の活動圏を尾張で代替。実父河合氏と養父高木義清を区別し1546年の所属は不明。
高木法斎|-|浪人|阿波国/名東郡|父未確認|蜂須賀家政配下の後年の徳島の活動圏を代替に使用。関ヶ原時の陣代記録を1546年の奉公へ遡及しない。
高松久重|-|元服前|肥後国/宇土郡|高松憲重|1587年・1594/1595年の出生異説はいずれも開始年より後。父憲重と肥後出生説を参照し、生年・系譜の違いを留保。
鹿伏兎定長|-|浪人|伊勢国/鈴鹿郡|父未確認|1538年の活動と加太城の地縁を使用。関盛信の家臣という記載は奉公時期未確定なので1546年所属を保留。
黒正甚兵衛|amago|武将|出雲国/*|父未確認|1541・1543年の尼子方従軍記事から1546年にも尼子家と暫定推定。軍記的逸話は確定事実とせず年代保留を維持。
百々内蔵助|-|浪人|近江国/犬上郡|父未確認|1558年の六角氏への反乱と佐和山の紹介を後年地縁として代替。1546年家中は不明とし忍者説話の裏付けは保留。
菅沼貞道|-|浪人|三河国/八名郡|父未確認|野田城防衛の紹介を地域代替に使用。定盈との異同が未解決のためその父・生年・所属を流用しない。
落合道久|-|浪人|甲斐国/*|父未確認|武田家臣・長篠従軍の紹介から甲斐の後年活動圏を代替。道次との同定や1546年の奉公は留保。
金子新左衛門|-|浪人|上野国/利根郡|父未確認|沼田平八郎に仕えた地縁を使用。後年の北条・上杉・真田との関係は1546年へ遡及しない。
長尾藤景|-|浪人|越後国/南蒲原郡|父未確認|三条の高城と謙信家中の後年活動を地域代替に使用。1546年の奉公と出生は未確認のまま。
中村可近|-|浪人|阿波国/三好郡|父未確認|既存評価の桂林寺中村家墓碑調査と大西城番の地域を参照。父祖の軍功・世代を転記せず、1546年所属不明の保留配置。
中野一安|oda_nobuhide|武将|尾張国/愛知郡|父未確認|秋月院の開基紹介は一安を重吉・又兵衛と同定し信秀家臣として小豆坂参加を記す。織田信秀系の武将と暫定採用。市資料の元号誤記・年代保留は維持。
丸尾義清|-|浪人|遠江国/山名郡|父未確認|自治体展示の丸尾・本間系領主と馬伏塚周辺の地縁を参照。供養塔は奉公の証明とせず1546年の所属・年齢を保留。
国富貞次|-|元服前|備前国/上道郡|父未確認|岡山県立図書館の回答は1546年出生・比丘尼山城主とし実父不明。開始年内の出生前後と頼資との異同は保留し幼少配置。
小森三郎右衛門|-|浪人|備前国/児嶋郡|父未確認|既存調査の八浜七本槍としての活動地域を代替に使用。近世の同名藩士と結び付けず1546年所属不明。
岸本惣次郎|-|浪人|備前国/児嶋郡|父未確認|既存調査の八浜七本槍の地縁を代替に使用。参加した後年の家中を1546年に遡及せず所属不明。
本間氏清|-|浪人|遠江国/山名郡|父未確認|自治体展示の丸尾家から本間家へ入った領主という地縁を参照。馬伏塚周辺で代替し後年の徳川奉公は遡及しない。
板倉定重|-|元服前|三河国/額田郡|板倉好重|1545年生の勝重の弟という紹介から幼少相当と推定。出生年が未確定なので将来用に固定せず開始時出仕を保留。大井村の家の出自圏で代替。
林通安 (八郎左衛門)|-|浪人|尾張国/西春日井郡|父未確認|秀貞の父・八郎左衛門を照合。春日井郡沖村の林氏の地縁を代替とし、子の織田奉公を本人へ転記しない。
津田正時|-|浪人|河内国/讃良郡|父未確認|津田城の地域史調査案内を参照。主水との同定・城主系譜は保留。現行地図で交野郡を統合した讃良郡へ仮配置。
粟井正晴|-|浪人|備前国/児嶋郡|父未確認|既存調査の八浜七本槍・三郎兵衛の地縁で代替。1546年の出生・所属は不明のまま。
河合将忠|-|浪人|遠江国/*|父未確認|遠江古蹟図絵の河合数馬の画像目録と既存同定記録のみを参照。実在・軍歴・年齢を確定せず遠江に代替配置し出仕保留。
渡辺七右衛門|-|浪人|阿波国/板野郡|父未確認|既存調査の脇坂隊での守備参加を参照。朝鮮の戦場は配置せず脇坂隊の後年の洲本本拠圏で代替。1546年所属は不明。 淡路国が現行地図に未収録のため、対岸の阿波国板野郡で代替。本人の居所や所属家の領地とは認定しない。
脇坂左兵衛|-|浪人|阿波国/板野郡|父未確認|既存調査の脇坂隊副将という後年活動を参照。洲本の隊の本拠圏で代替し、脇坂姓だけで一門・父子関係を補わない。 淡路国が現行地図に未収録のため、対岸の阿波国板野郡で代替。本人の居所や所属家の領地とは認定しない。
長尾景直 (上杉謙信の旗本)|-|浪人|越後国/*|父未確認|既存評価の謙信旗本・御館期の活動地域を代替に使用。駿河守宛文書との同定や最期、1546年の家中は保留。
