# 名前|1546年所属家|ゲーム立場|参照郡|父照合|個別判断
小山成長|-|浪人|下野国/下都賀郡|-|1471年の家督継承と小山の地縁を参照。没年の幅・1546年存命の根拠不足を残し、小山周辺へ参照配置。
小林和泉守|-|浪人|甲斐国/都留郡周辺（仮1）|-|都留郡小山田氏家臣、1536年没。都留の現行仮区画を参照配置に用いる。実名・居館の位置は未確定。
小田顕家 (常陸国)|-|浪人|常陸国/筑波郡|-|既存IDは小田成治の次子を指す。騎西の同名人物とは区別し、常陸小田の同族本拠圏を参照配置とする。本人の1546年所属は未確定。
小笠原長隆 (石見小笠原氏)|-|浪人|石見国/邑智郡|-|河本郷温湯城の石見小笠原氏当主、1542年没。信濃の同姓家とは区別し生前本拠へ参照配置。
山本貞幸|-|浪人|駿河国/富士郡|-|後世の地誌に見える駿河富士郡山本村の人物、1527年没説。山本勘助との系譜の留保を残した参照配置。
己斐宗瑞|-|浪人|安芸国/沼田郡|-|己斐城主で大内氏から安芸武田氏へ転じ、1517年戦死。己斐の地縁を参照し甲斐武田家へ結び付けない。
明石季衡|-|浪人|陸奥国/東津軽郡|-|蠣崎氏に関わる蝦夷地の人物。1546年の家中確定は保留。蝦夷地未収録のため津軽側の参照用代替郡とし陸路接続や領有を認定しない。
杉隆宣|-|浪人|周防国/佐波郡|-|佐波郡大前・植松の領有記事、1543年出雲で戦死。生前の地縁による参照配置。
村上隆勝|-|浪人|伊予国/越智郡|-|前回調査の故人判定を維持。能島村上氏の生前活動圏を参照配置に設定し、1546年の所属家を新たに認定しない。
松前慶広|-|元服前|陸奥国/東津軽郡|蠣崎季広|1548年生。登録父蠣崎季広の既知所属だけを継承。蝦夷地未収録のため津軽側は将来用代替郡であり蠣崎家領ではない。
松平与副|-|浪人|三河国/宝飯郡|-|形原松平氏の15世紀末から16世紀初頭の人物。貞副等との表記・年代の留保を残し、形原周辺に参照配置。
松平信康（清康の子）|-|浪人|三河国/碧海郡|-|1540年没とされる清康の子。徳川家康の子の信康とは区別。安祥系の地縁を代替郡とし開始時登場させない。
松平親次|-|浪人|三河国/碧海郡|-|福釜の地縁を採用。寛政譜の1530年没と安城市史の1575年没など父親との事績混同の可能性があり、既存年代保留を解消せず参照配置。
松平親清 (長沢松平家)|-|浪人|三河国/宝飯郡|-|長沢松平氏の地縁と15世紀末頃の活動を参照。1546年の存命・所属は未確定のまま。
松田頼秀|-|浪人|相模国/足柄下郡|-|15世紀の松田氏と小田原周辺の地縁を参考にする。後代の北条家臣としての所属を前倒しせず参照配置。
柿並弘慶|-|浪人|長門国/阿武郡|-|阿武郡川上村柿並谷の居住記事を参照。1527年没で現役の大内一門にはしない。
栗原信遠|-|浪人|甲斐国/山梨郡周辺（仮1）|-|下栗原の居館の紹介を参照。既存の故人判定を維持し、山梨郡の仮区画を生前本拠の代替配置に用いる。
武田信高 (若狭武田氏)|takeda_wakasa|大名家一門|近江国/高島郡|-|若狭武田元光の子・信豊の弟という紹介に基づく一門設定。信重との異名説は留保。若狭未収録のため高島郡は参照用代替で武田領とは認定しない。
武田元光|takeda_wakasa|大名家一門|近江国/高島郡|-|小浜市の発心寺坐像解説に出家隠居の記事がある。1546年は隠居一門として設定。若狭未収録のため高島郡は参照用代替で武田領とは認定しない。
武田義統|takeda_wakasa|大名家一門|近江国/高島郡|-|若狭武田信豊の子で1546年の家督継承前は一門。若狭未収録のため高島郡は参照用代替で武田領とは認定しない。
河野政通|-|浪人|加賀国/江沼郡|-|1454年の渡海・函館築館に関連する人物。未収録の蝦夷地の代わりに出自とされる加賀江沼を参照配置。1546年存命の根拠とはしない。
沼田麝香|-|元服前|近江国/高島郡|沼田光兼|1544年生、父沼田光兼が未登録のため所属不明。後年の夫の細川家を継承しない。若狭熊川未収録のため高島郡を参照用代替とする。
渥美友元|-|浪人|三河国/渥美郡|-|渥美郡出身で松平氏に仕え1544年没。出自地域を参照配置とし、1546年の松平家配属は行わない。
福原広俊|-|浪人|安芸国/高田郡|-|毛利元就外祖父の世代の福原広俊として参照。同名の後代当主の奉公や居所と混同せず、福原氏の高田本拠圏を参照配置。
稲葉通則|-|浪人|美濃国/安八郡|-|稲葉氏の曽根の地縁と既存故人判定を維持。生前活動圏の参照配置とし、後代の斎藤家に繰り入れない。
竹田右衛門|-|浪人|遠江国/榛原郡|-|Commonsの連署状画像の書誌・分類を再確認し、静岡県史料第4輯・御前崎本間文書・1607年の関連を確認。署名の原文同定や本人の1546年存命・役職は未確定。御前崎の文書伝来地域を代替の参照郡に用い、本人の居住・所領とは断定しない。
藤原興親|-|浪人|安芸国/佐伯郡|-|厳島神主家当主、1508年京都で病没。厳島・桜尾圏の生前本拠に対応する参照配置。大内氏の1546年家臣にはしない。
蠣崎季広|kakizaki|大名|陸奥国/東津軽郡|-|蠣崎家当主として1546年の大名設定を維持。蝦夷地未収録のため津軽側の参照用代替郡で、蠣崎領の認定や海峡を越える陸路接続は行わない。
足利基頼|-|浪人|下総国/猿島郡|-|1531年若林滞在・本拠説と1538年国府台戦死を参照。猿島の生前活動圏へ参照配置し将軍家所属の旧自動推定を開始時設定に持ち越さない。
野間刑部大輔|-|浪人|安芸国/安芸郡|-|安南郡吉浦を本拠とする水軍将、1523年戦死。吉浦を現行安芸郡に対応させる参照配置。
鈴木孫一|-|浪人|紀伊国/名草郡|-|鈴木重秀が称した名であり、名跡を複数人が使ったという説もある。登録済みの重秀らとの重複・同定を保留し、雑賀の参照配置のみ設定。独立した現役武将を増やさない。
長井秀弘|-|浪人|美濃国/厚見郡|-|斎藤妙純の加納城を守った記事と1496年末の戦死を参照。生前活動圏を参照配置とし、後代の斎藤道三家臣にはしない。
長宗我部盛恒|-|元服前|土佐国/長岡郡|父子同定保留|未誕生の仮配置。保存紹介は盛親へ転送され、盛恒を子とする記載にも疑問符がある。盛親・元親を無条件で実父にせず所属不明を維持。土佐長宗我部氏圏を将来用代替にするが同定保留を解除しない。
長屋吉親|-|浪人|安芸国/高田郡|-|高田郡長屋の槇ヶ城を本拠とする毛利庶流。1544年布野で戦死したため生前本拠の参照配置のみ。
長野顕業|-|浪人|上野国/西群馬郡|-|1506年の菩提供養記事に基づく前回の故人判定を維持。厩橋の生前本拠を参照配置とし、新たな現役所属を与えない。
青木康延|-|浪人|越前国/南條郡|-|朝倉氏景の時代の府中奉行という紹介を参照。越前府中の地縁のみ採用し、1546年の朝倉義景家臣に前倒ししない。
鳥居忠明|-|浪人|三河国/碧海郡|-|三河碧海郡渡城主・鳥居忠吉の父という系譜を参照。15世紀の人物で1546年の所属を認定せず参照配置。
