# 人物|実父の照合名|父所属不明時の代替地域|採用根拠・留保
本多忠朝|本多忠勝|遠江国/敷智郡|父忠勝を照合。浜松周辺の家の活動圏を代替とし、後年の大多喜領有は遡及しない。
本多成重|本多重次|三河国/*|父重次を照合。三河の家の地縁を代替に用いる。後年の丸岡領主身分は遡及しない。
本多政朝|本多忠政|上総国/夷隅郡|父忠政を照合。大多喜の家の本拠を代替とし、本人の出生郡の確定とはしない。
本多正純|本多正信|三河国/額田郡|父正信を照合。大久保忠世のもとで母と保護された記事を地域の手掛かりとし、父の大和滞在と本人の居所を同一視しない。
本多正貫|長坂重吉|下総国/*|実父長坂重吉を照合。養父本多正重の舟戸の後年本拠圏を地域の代替に用いるが、所属は養父から継承しない。
松井康之|松井正之|山城国/綴喜郡|京都郊外の松井城出生という地縁を採用。後年の細川奉公は遡及しない。
松井興長|松井康之|丹後国/熊野郡|久美浜出生の記事を採用。父康之も今回対象のため父の照合後に所属を解決。
松平一生|松平近正|三河国/*|父近正を照合。三河の家の地縁を代替に用い、後年の下野入封を遡及しない。
松平信吉|松平忠吉（桜井松平家・未登録）|三河国/碧海郡|父は桜井松平家の忠吉。人物表の家康四男の忠吉とは別人なので結び付けない。桜井の本拠を代替とし、養父信一からも所属を継承しない。
松平信康（家康の嫡男）|徳川家康|駿河国/安倍郡|駿府出生の記事を採用。家康の嫡男として照合し、同名の松平氏と区別。
松平信綱|大河内久綱|武蔵国/北足立郡|小室陣屋付近の出生説を採用。実父大河内久綱と養父松平正綱を区別。
松平定勝|久松俊勝|尾張国/知多郡|坂部城出生の記事を採用。実父久松俊勝を照合し、異父兄家康から直接所属を与えない。
松平定綱|松平定勝|尾張国/知多郡|父定勝を照合。父の坂部の出生地縁を代替とし、本人の出生郡とは断定しない。
松平定行|松平定勝|尾張国/知多郡|父定勝を照合。家の坂部の出自を代替とし、後年の掛川入封は遡及しない。
松平家信|松平家忠（形原松平家・未登録）|三河国/宝飯郡|父は形原松平家の家忠で、人物表の深溝家忠とは別人。形原周辺を代替配置とし同名で所属を継承しない。
松平家忠|松平伊忠|三河国/額田郡|深溝城出生の記事を採用。実父伊忠を照合し、形原家の家忠とは別人として扱う。
松平家清|松平清宗|三河国/宝飯郡|父清宗と竹谷松平家の本拠圏を代替に用いる。後年の武蔵八幡山入封は遡及しない。
松平康重|松平康親|駿河国/駿東郡|父康親の三枚橋城主という後年地縁を代替とし、本人の出生地・1546年の居所とはしない。
松平康長|戸田忠重|三河国/渥美郡|実父戸田忠重と戸田氏の渥美の本拠を照合。松平改姓後の関係を出自と混同しない。
松平忠吉|徳川家康|遠江国/敷智郡|家康四男で浜松城下出生。桜井松平家の同名忠吉とは別人として照合。
松平忠昌|結城秀康|摂津国/西成郡|大坂出生の記事を採用。父秀康の登録所属が不明なら祖父家康から飛び越して継承しない。現行区画に合わせ大坂周辺の西成郡を代替とする。
松平忠明 (奥平松平家)|奥平信昌|三河国/南設楽郡|新城出生の記事を採用。実父奥平信昌と養父家康を区別。
松平忠直|結城秀康|摂津国/西成郡|生魂の出生記事を採用。現行地図に東成郡がないため大坂周辺の西成郡を代替とし、原記事の郡を訂正した扱いにしない。
松平忠良|松平康元|三河国/*|三河出生の記事を採用。父康元の登録を照合。
松平忠輝|徳川家康|武蔵国/豊島郡|実父家康を照合。江戸の家の本拠を代替とし、養父松平康忠から所属を継承しない。
松平忠頼|松平忠吉（桜井松平家・未登録）|三河国/碧海郡|父は桜井松平家の忠吉で家康四男ではない。桜井の地縁を代替に用い、同名人物への接続を避ける。
松平正綱|大河内秀綱|三河国/*|実父大河内秀綱を照合。三河の家の地縁を代替とし、養父松平正次を実父扱いしない。
松平近正|松平親清 (長沢松平家)|三河国/宝飯郡|父親清の長沢松平家の枝を照合し、長沢周辺を代替とする。
松平重勝|松平重吉|三河国/*|父重吉とする記事を仮採用。兄弟順位・母などの異説は保持し、三河の家の本拠圏を代替に用いる。
松浦鎮信|松浦隆信|肥前国/北松浦郡|父隆信とする本文を仮採用。鎮隆を父とする異説も留保し、平戸の家の本拠を代替に用いる。
板倉重宗|板倉勝重|駿河国/安倍郡|駿府出生の記事を採用。父勝重の登録所属のみを照合。
板倉重昌|板倉勝重|駿河国/安倍郡|駿府出生の記事を採用。後年の島原への派遣を出自の根拠にしない。
柳生利厳|柳生厳勝|大和国/添上郡|柳生庄出生の記事を採用。実父厳勝を照合し、祖父宗厳や叔父宗矩と混同しない。
柳生宗矩|柳生宗厳|大和国/添上郡|柳生庄出生の記事を採用。後年の徳川家への奉公を開始時に遡及しない。
栗山利安|栗山浄順|播磨国/飾東郡|姫路栗山の出生地縁を採用。黒田家への後年奉公は遡及しない。
栗山利章|栗山利安|豊前国/下毛郡|平田城出生の記事を代替地域に用いる。父利安も今回対象として照合。
森成利|森可成|美濃国/羽栗郡|蓮台出生の地縁を採用。旧尾張葉栗の表記と現行地図の美濃羽栗の区分差を残し、蓮台周辺の代替区画として設定。父可成はユーザー指定で所属不明のため、子を後年の織田家へ自動配属しない。
森長可|森可成|美濃国/羽栗郡|蓮台周辺の森氏の本拠を代替に用いる。旧尾張葉栗の表記と現行地図の美濃羽栗の区分差は留保。父可成の所属不明設定を尊重し、1570年の継承・奉公を遡及しない。
榊原康勝|榊原康政|上野国/邑楽郡|父康政を照合。館林の後年の家の本拠を代替とし、出生郡の確定とはしない。
榊原康政|榊原長政|三河国/碧海郡|上野郷出生の記事を採用。父長政と養父一徳斎を区別する。
榊原照久|榊原清政|三河国/碧海郡|父清政を照合。榊原氏の上野郷の地縁を代替とし、後年の久能山での活動は遡及しない。
樺山久高|樺山忠助|薩摩国/*|父忠助を照合。島津家臣樺山氏の薩摩の活動圏を代替とし、後年の琉球遠征先に配置しない。
母里友信|曽我一信|播磨国/加古郡|実父曽我一信を照合。母里の本貫という伝承を代替地域に用い、出生地確定とはしない。
毛利勝永|毛利勝信|尾張国/*|父勝信は森吉成の別名。尾張出生説を代替として採用し、長浜説も保持。安芸毛利氏とは別系統として扱う。
毛利秀元|穂井田元清|備中国/下道郡|猿掛城出生の記事を採用。実父穂井田元清と養父毛利輝元を区別。
毛利秀包|毛利元就|安芸国/高田郡|実父元就を照合。吉田の家の本拠を代替とし、養父大田英綱・小早川隆景から所属を継承しない。
毛利秀就|毛利輝元|安芸国/沼田郡|広島城出生説を代替に用いる。父輝元も今回対象として照合。出生異説は保留する。
毛利輝元|毛利隆元|安芸国/高田郡|実父隆元と吉田の家の本拠を照合し、後年の当主身分は遡及しない。
毛屋武久|田原長久|近江国/神崎郡|神崎郡出生の記事を採用。実父田原長久を照合し、養育者建部賢文や後年の主君と区別。
水野分長|水野忠分|尾張国/知多郡|尾張出生の記事と水野氏の本拠圏を代替に用いる。父忠分を照合し、叔父忠重からは直接継承しない。
水野勝俊|水野勝成|備中国/川上郡|成羽出生の記事を採用。父勝成も今回対象で、父の判定後に所属を解決する。
水野勝成|水野忠重|三河国/碧海郡|刈谷・鷲塚などの出生説の範囲を代替とする。岡崎説との相違は保持し、父忠重を照合。
水野忠清|水野忠重|三河国/碧海郡|刈谷の家の本拠を代替とする。父忠重を照合し、後年の上野入封は遡及しない。
水野重央|水野忠分|尾張国/知多郡|尾張出生の記事と水野氏の本拠圏を代替に用いる。父忠分を照合する。
水野重良|水野重央|尾張国/知多郡|父重央を照合。父の尾張の出自を代替地域とし、本人の出生郡の確定とはしない。
永井尚政|永井直勝|駿河国/*|駿河出生の記事を採用。父直勝も今回対象として照合。
永井直勝|長田重元|三河国/碧海郡|大浜出生説を代替に採用。緒川説も保持し、実父長田重元を照合。
永井直清|永井直勝|相模国/*|相模出生の記事を採用。父直勝を照合し、出生地点が不明なため郡は相模内で仮配置する。
池田輝政|池田恒興|尾張国/西春日井郡|清洲出生の記事を代替地域に用いる。父恒興を照合し、姫路の後年の領有を遡及しない。
津軽為信|父未確定（諸説）|陸奥国/中津軽郡|実父・出自に大浦氏説と久慈氏説などがあるため父所属を継承しない。大浦の後年の本拠圏を代替とし、出生地確定とはしない。
浅野幸長|浅野長政|近江国/滋賀郡|坂本出生の記事を採用。父長政も今回対象として照合。
浅野長政|安井重継|尾張国/西春日井郡|北野出生の記事を採用。実父安井重継と養父浅野長勝を区別。
浅野長晟|浅野長政|近江国/滋賀郡|坂本出生の記事を採用。父長政の今回の判定を照合。
渡辺重綱|渡辺守綱|三河国/*|三河出生の記事を採用。父守綱を照合し、後年の尾張徳川家配属は遡及しない。
片倉重長|片倉景綱|羽前国/東置賜郡|下長井荘宮村片倉館の出生地縁を代替に用いる。父景綱の登録所属が不明なら伊達家へ自動配属しない。
片桐且元|片桐直貞|近江国/東浅井郡|須賀谷出生の記事を採用。父直貞の登録を照合し、後年の豊臣家への出仕は遡及しない。
片桐貞隆|片桐直貞|近江国/東浅井郡|近江出生と須賀谷の家の地縁を採用。父直貞を照合する。
犬童頼兄|犬童頼安|肥後国/球摩郡|父頼安と相良家中の家の地縁を照合。人吉周辺を代替とし、水俣への後年従軍を出生地の根拠にしない。
甘糟景継|登坂清高|越後国/南魚沼郡|実父登坂清高と上田長尾家の地縁を照合。甘糟の名跡継承後の姓から実父を推定しない。
田中吉政|田中重政|近江国/高島郡|高島郡出生説を代替として採用。浅井郡三川・宮部説も保持し、郡を史実確定した扱いにはしない。
田中忠政|田中吉政|近江国/*|近江出生の記事を採用。父吉政も今回対象として照合し、後年の柳川領主身分は遡及しない。
留守宗利|留守政景|陸前国/宮城郡|利府城主政景の子という家の地縁を代替に用いる。留守・伊達の改姓時期を混同しない。
白石宗直|梁川宗清|岩代国/伊達郡|実父梁川宗清を照合。梁川の家の地縁を代替とし、養父白石宗実や後年の水沢領有から所属を継承しない。
直江兼続|樋口兼豊|越後国/南魚沼郡|上田庄・坂戸城下または湯沢出生の地縁を代替に用いる。父兼豊の身分には異説があり、登録所属不明なら直江・上杉家へ自動配属しない。
真田信之|真田昌幸|信濃国/小県郡|実父昌幸を人物紹介と上田の人物解説で照合。真田の家の本拠を代替とし、武藤姓時代と後年の松代入封を切り分ける。
