# 名前|所属家（-は不明）|立場|地域|父の登録名（-は照合候補なし）|判断・留保
森川氏俊|-|元服前|尾張国/西春日井郡|-|父の旧領が尾張比良だった記事を位置根拠に採用。父の姓名・所属枝が確定せず、1565年の家康への召抱えを遡及しない。
篠原長重|-|浪人|尾張国/愛知郡|-|父篠原一計の織田奉公と荒子の前田氏との地縁を位置に採用。本人の1546年所属枝・出仕時期は不明で、利家の後年家臣歴は遡及しない。
跡部勝忠|-|浪人|甲斐国/*|-|武田家勘定奉行としての記録は主に永禄期以降。甲斐を仮配置先にするが、1546年の役職・奉公開始は不明。子へ伝える所属も不明のままとする。
長崎元家|-|元服前|近江国/甲賀郡|-|出生地不明。初期主君とされる滝川一益の甲賀の地縁をゲーム上の代替位置に採用する。本人の甲賀居住を裏付ける史料ではなく、初期の仮配置である。
間宮綱信|-|元服前|武蔵国/久良岐郡|-|後年の氷取沢郷の所領記事を場所のある記録として採用。幼少時の在住や北条氏照への奉公を1546年に認定しない。
青木一矩|-|元服前|美濃国/大野郡|-|揖斐庄の青木氏出身という通説を位置に採用。重吉という実名・父母の異説を留保し、秀吉との親族説から1546年所属を推定しない。
内藤源左衛門|-|浪人|丹波国/南桑田郡|-|短い英語紹介にある丹波亀山だけをゲーム代替地域の手掛かりに採用。人物同定・領有規模・年代の裏付けが不足し、信長家臣や領主として確定しない。出仕無効。
一宮成助|-|浪人|阿波国/名西郡|-|阿波一宮城の地縁を位置に採用。成相とも記す。1553年の三好との婚姻・所属記事から1546年の家中を確定せず、当主就任時期も留保。
一宮随波斎|-|浪人|山城国/愛宕郡周辺（仮）|-|出自は小笠原・武田など諸説。武者修行で京都に滞在した紹介を代替位置とする。義輝・氏真への後年奉公を1546年に遡及しない。
仁木友梅|-|浪人|伊賀国/阿拝郡|-|仁木長政の弟とみられ伊賀平楽寺を与えられた後年の地縁を位置に採用。初見は1576年頃で、1546年の身分・存命は留保。医師を5分類では浪人とする。
一色氏久|-|浪人|下総国/猿島郡|-|古河公方奏者としての活動が分かるのは元亀・天正期。古河付近を代替位置にし、1546年の古河家奉公を確定しない。
一萬田鑑実|otomo|武将|-|-|大友義鑑から父とともに偏諱を受け、義鑑・義鎮二代に仕えた紹介を根拠に1546年も大友家と暫定設定。家督相続は1553年で、当主扱いにはしない。
三浦義就|imagawa|武将|-|-|駿河三浦氏の今川義元家臣で1551年笠寺砦守将。近接時期の所属から1546年の今川奉公を暫定採用。生年は不明のため出仕判定は保留。
三田村国定|-|浪人|近江国/東浅井郡|-|北近江三田村氏の地縁を位置に採用。1570年の横山城・姉川記事には父子の混同可能性があり、1546年の浅井家所属を確定しない。
三箇頼照|-|浪人|河内国/讃良郡|-|三箇城の地縁を代替位置に採用。1562年の受洗・三好長慶への奉公は後年の確かな記事で、1546年の城主・家臣身分は未確定。
三浦貞盛|miura_mimasaka|大名家一門|-|-|美作三浦貞国の子・貞久の弟という系譜から三浦家一門と暫定設定。1566年の当主擁立を1546年に繰り上げず、生年不詳の出仕留保を残す。
中島重房|-|浪人|土佐国/長岡郡|-|岡豊城下中島に住した一族という地縁を位置に採用。後年の長宗我部元親への奉公を1546年へ遡及せず、生年不詳を留保。
伊丹総堅|hatakeyama_noto|武将|-|-|伊丹続堅とも記す。畠山義総代からの伊丹氏の活動と1550～1551年の七頭記事から、1546年の能登畠山家所属を暫定採用。摂津伊丹家にはまとめない。
伊勢貞就|hojo|武将|-|-|1534年に父貞辰と将軍使者として北条氏綱を訪ね、そのまま仕えた紹介を根拠に北条家所属とする。後年の使者役を用いた推測だけではない。
伊東重信|-|浪人|岩代国/安積郡|-|伊達方の安積伊東氏の地縁を採用。1543年に田村氏が本拠地域を攻略した記事があるため、本人の1546年の主君と居所は確定しない。
仁木長政|-|浪人|伊賀国/阿拝郡|-|1559年以後の伊賀屋形の記事と土橋の饗応記録から伊賀を仮配置先とする。1546年の守護就任・幕府奉公は不明で、当主身分を遡及しない。
仙石定盛|-|浪人|備中国/窪屋郡|-|伊東長実の家老となるのは1591年。川辺の主家拠点をゲーム代替地域にするが、1546年の生存・居住・奉公を示す根拠ではない。出仕無効。
一色数馬|-|浪人|下総国/東葛飾郡|-|木野崎城での1590年の伝承を位置のみに採用。実名・生年が不明で、1546年の北条家臣・城主に遡及しない。
三宅総広|hatakeyama_noto|武将|-|-|義総の偏諱とみられる総の字、能登畠山家中の活動から義総代以来の奉公を推定して1546年所属を暫定採用。生没年・弘治内乱の記事の疑問は残す。
上坂勘解由|-|浪人|近江国/坂田郡|-|近江上坂氏の出自と上坂村の地縁を位置に採用。前野長康の家臣としての記録は1570年以後で、1546年の主君を推定しない。
中山勝時|mizuno|武将|-|-|1543年に水野信元が岩滑城へ入れたとする記事を採用し、水野家武将とする。勝時・光勝など名の伝承の問題と、生没年不明の留保は残す。
三木清閑|-|浪人|播磨国/飾西郡|-|播磨出身で英賀三木通秋に仕えた地縁を位置のみに採用。黒田氏との婚姻・京都での商業活動は1546年の所属根拠にしない。
