# 人物|所属家ID|立場|父不明時地域|父照合名|判断
池田光仲|-|元服前|武蔵国/豊島郡|池田忠雄|江戸藩邸出生の記事を採用。父忠雄を照合し後年の鳥取領有を遡及しない。
池田光政|-|元服前|備前国/御野郡|池田利隆|岡山城代を兼ねた父利隆のもとで出生した記事を採用。姫路藩主の子という肩書だけで姫路へ決めない。
津田信澄|-|元服前|尾張国/*|織田信勝|織田信勝（信行）の子を照合。1555年前後とする説を仮採用し生年不詳を保持。養父柴田勝家・義父磯野員昌とは区別。
浅野長治|-|元服前|山城国/*|浅野長晟|山城出生の記事を採用。実父長晟を照合し後年の広島・三次領有を遡及しない。
清水宗之|-|元服前|備中国/賀陽郡|清水宗治|紹介記事は1562年高松出生。実父宗治を照合し後年の毛利家中身分を遡及しない。
清野満成|-|元服前|信濃国/埴科郡|清野信秀|紹介記事は1565年出生。父信秀を照合。清野氏の信濃の本拠圏を代替とする。
渡辺治綱|-|元服前|山城国/紀伊郡|渡辺重綱|伏見出生の記事を採用。実父重綱を照合し尾張徳川家の後年の家臣化を遡及しない。
渥美友重|-|元服前|三河国/*|渥美友勝|紹介記事は1565年出生。実父友勝を照合し三河の家の地縁を代替とする。
片倉景綱|-|元服前|羽前国/南置賜郡|片倉景重|1557年出生、成島八幡の神職景重の次男という記事を採用。父が未登録なら伊達家に自動配属しない。
甘粕重政|-|元服前|越後国/*|甘粕景持|紹介記事は1567年越後出生。実父景持（長重）を照合し同姓の別家と区別。
生駒高俊|-|元服前|讃岐国/香川郡|生駒正俊|実父正俊と高松の家の地縁を照合。後年の家督相続を開始時に遡及しない。
真田昌幸|-|元服前|信濃国/小県郡|真田幸隆|紹介記事の1547年説を仮採用。父幸綱は人物表の幸隆と照合し、養父武藤氏と区別。生年の疑問符と元台帳の欠落は保持。
神吉頼定|-|元服前|播磨国/印南郡|神吉頼氏|紹介記事は1550年出生。実父頼氏と神吉の地縁を照合。
立花忠茂|-|元服前|筑後国/山門郡|立花直次|実父直次を照合。立花家の柳川周辺の活動圏を代替とし、養父宗茂から所属を継承しない。
筒井順定|-|元服前|伊賀国/阿拝郡|筒井定次|実父定次を照合。上野の家の本拠を代替とし母方の織田家から直接所属を与えない。
粟屋孝春|-|元服前|安芸国/高田郡|宍戸元秀|1569・1573年の出生説を保持。実父宍戸元秀と養父粟屋孝重を区別し安芸の家の本拠を代替とする。
細川光尚|-|元服前|豊前国/企救郡|細川忠利|実父忠利を照合。小倉の家の当時の本拠を代替に用いる。
織田信忠|-|元服前|尾張国/西春日井郡|織田信長|1557年清洲城出生の記事を採用。実父信長を照合し母の同定には異説を残す。
花井吉高|-|元服前|武蔵国/入間郡|父未確認|紹介記事は1561年出生。父未特定のため所属不明。1603年の入間郡北野村知行を後年地縁として代替し、出生地・1546年領有とは認定しない。
藤堂高次|-|元服前|伊予国/越智郡|藤堂高虎|実父高虎を照合。今治の家の本拠を代替とし養嗣子高吉とは別人として扱う。
酒井忠当|-|元服前|羽前国/西田川郡|@Q5367620|実父は庄内酒井家の忠勝（Q5367620）。小浜の同名忠勝（Q7402768）と区別してIDで照合。鶴岡の本拠を代替とする。
鍋島元茂|-|元服前|肥前国/佐賀郡|鍋島勝茂|小曲館出生の記事を採用。実父勝茂を照合し後年の小城領有を遡及しない。
鍋島直澄|-|元服前|肥前国/佐賀郡|鍋島勝茂|実父勝茂と佐賀の家の本拠を照合。後年の蓮池領有を遡及しない。
長岡好重|-|元服前|山城国/*|三淵晴員|紹介記事の1561年出生を将来用仮設定に採用。父晴員との世代・父子関係は留保し、京都の家の活動圏を代替とする。
長岡是季|-|元服前|丹後国/*|米田是政|紹介記事は1586年出生。実父米田是政を照合。細川家中の丹後の活動圏を代替とし姓だけで細川氏の子にしない。
阿部忠秋|-|元服前|三河国/*|阿部忠吉|実父忠吉を照合。三河の家の出自を代替とし本人の出生郡とは断定しない。
青山宗俊|-|元服前|武蔵国/豊島郡|青山忠俊|実父忠俊を照合。江戸の家の後年活動圏を代替とし本人の出生郡とは断定しない。
青山長正|-|元服前|尾張国/*|浅野左近盛久|紹介記事は1572年頃出生。実父浅野左近盛久を照合。尾張の家の出自を代替とし同姓の青山氏に統合しない。
高山右近|-|元服前|摂津国/豊島郡|高山友照|1552・1553年出生説はともに開始年より後。実父友照を照合し高山周辺を現行地図の豊島郡で代替。出生郡の厳密な面判定ではない。
高田信頼|-|元服前|上野国/北甘楽郡|高田繁頼|1550年出生。父繁頼を照合し、甘楽郡高田城の家の本拠圏を代替とする。
鳥居忠恒|-|元服前|磐城国/磐城郡|鳥居忠政|実父忠政を照合。父の後年の磐城平の本拠圏を代替とし、本人の出生郡は未確定のまま。
黒田忠之|-|元服前|筑前国/那珂郡|黒田長政|福岡城内の栗山邸出生の記事を採用。実父長政を照合し母方の徳川家から所属を与えない。
黒田長興|-|元服前|筑前国/那珂郡|黒田長政|福岡城内出生の記事を採用。実父長政を照合し後年の秋月領有を遡及しない。
一柳直末|-|元服前|美濃国/厚見郡|一柳直高|1546・1553年の出生異説を保持し同年内の前後は未確定。父直高と西野・今泉の地縁を照合。開始時出仕は保留。
牧村利貞|-|元服前|美濃国/安八郡|父未確定（諸説）|1545・1546年頃の出生を前提に幼少扱い。稲葉重通の実子・娘婿説があるため父所属の継承は保留。牧村の地縁を代替とする。
九鬼嘉隆|-|元服前|伊勢国/度会郡|九鬼定隆|1542年波切城出生の地縁を参照。志摩国が現行地図に未収録のため近接する伊勢国度会郡に代替配置（実居住郡ではない）。実父定隆を照合し、後年の織田家への奉公を遡及しない。
横澤吉久|-|浪人|陸前国/宮城郡|父未確認|伊達家中・仙台での後年の活動圏を代替に用いる。1546年の家中・生年が不明のため浪人を仮設定し、年代保留を維持。
仙石秀範|-|元服前|近江国/*|仙石秀久|実父秀久の次男・近江出生の記事を採用。父自身が1546年には未誕生のため本人も将来用とする。生年は確定しない。
千葉直重|-|元服前|相模国/足柄下郡|北条氏政|1566・1573年の出生説を保持。実父氏政と養父氏照を区別し小田原の本拠を代替とする。
大久保忠舊|-|元服前|三河国/額田郡|大久保忠為|実父忠為の子を照合。父の出生が1546年より後のため本人も将来用。三河の家の出自を代替とする。
大山光隆|-|元服前|羽前国/南村山郡|最上義光|実父義光の六男を照合。山形の地縁を代替とし兄たちの年代から未誕生を仮設定する。生年は未確定。
大野治房|-|元服前|美濃国/羽栗郡|大野定長|兄治長より後の世代として未誕生を仮設定。旧尾張葉栗の大野の地縁を現行地図の美濃羽栗で代替し、出生年と出自の異説は保持。
大野治胤|-|元服前|美濃国/羽栗郡|大野定長|兄治長・治房より後の世代として未誕生を仮設定。旧尾張葉栗の大野の地縁を代替とし生年不詳を保持。
木村重成|-|元服前|摂津国/西成郡|木村重茲|秀頼とほぼ同年齢の乳兄弟とする記事から将来用とする。父重茲説を仮採用。大坂周辺を代替とし正確な出生年は未確定。
大道寺直繁|-|浪人|相模国/足柄下郡|大道寺政繁|父政繁の長男で後年に氏直へ従った記事を参照。1546年の年齢を判断できないため所属不明・浪人を仮設定。小田原の後年本拠圏で代替、出仕保留。
安見勝之|-|元服前|河内国/讃良郡|安見信国（未同定）|交野城主安見右近の子とする説と1571年出生の男子の記事を仮採用。父の同定は保留し交野の地縁で将来用配置。現行地図で交野郡を統合した讃良郡を使う。
小里光親|-|浪人|美濃国/土岐郡|小里光直|父光直・祖父光明の記事と美濃小里城の地縁を採用。生年不明かつ記事内の没年も不整合のため年代保留。1546年所属不明・浪人を仮設定し出仕無効。
山科勝成|-|浪人|近江国/*|父未確認|蒲生家中での後年活動圏を代替に用いる。外国人説を含む実在・人物同定の議論を保留し、1546年の所属は不明とする。
後藤基則|-|浪人|和泉国/大鳥郡|後藤正親|父は記事表記の正親。慶長期の堺居住を代替根拠とし、佐太郎との同定説は保留。1546年の年齢・所属を確定せず浪人を仮設定、出仕保留。
河原綱家|-|浪人|信濃国/小県郡|河原隆正|実父隆正と海野・真田の地縁を参照。後年の真田奉公を遡及せず所属不明の浪人を仮設定。
稲葉通重|-|浪人|美濃国/安八郡|稲葉重通|実父重通と美濃の家の地縁を参照。生年不詳で1546年の家中身分を決められず浪人を仮設定し出仕は保留。
渡辺糺|-|元服前|摂津国/西成郡|渡辺昌（宮内少輔・未同定）|秀頼の家臣としての世代を用いて将来用と仮定。父昌の同定は保留し、大坂周辺を後年の活動圏による代替とする。
飯尾乗連|imagawa|武将|遠江国/敷智郡|飯尾賢連|曳馬城主で今川義元に仕えた記事と父賢連以来の今川との関係を根拠に今川家武将を暫定採用。生年と没年の異説は保持し開始時出仕は年代確認まで保留。
黒田秀忠|-|浪人|越後国/*|胎田常陸介|越後の黒田氏の地縁を代替に用い播磨黒田氏と区別。1546年の死亡前後が未確定で出仕を保留し、所属不明の浪人を設定。
長野吉業|aizu_nagano|大名家一門|上野国/西群馬郡|長野業正|業正の長男という記事から長野家一門を仮設定。1546年没の前後は未確定のまま出仕保留。
小野寺稙道|onodera|大名|羽後国/雄勝郡|父未確定（諸説）|横手・稲庭を本拠とする小野寺家当主として仮設定。父と生年の整合、1546年没の前後を保留し開始時出仕は無効。
青柳信正|-|元服前|信濃国/東筑摩郡|青柳正久|記事の天文14年と1543年の併記には換算差があるが、いずれも1546年には幼少。実父正久を照合し筑摩郡青柳の出自を採用。元台帳の年代保留を維持。
大島光朝|-|浪人|美濃国/*|大島光義|光義とともに従軍・内政した後年記事を参照。美濃の家の地縁を代替とし1546年の奉公を遡及しない。
本庄久長|-|元服前|越後国/*|本庄繁長|繁長の四男で大坂冬の陣従軍の記事を参照。世代から未誕生を推定し将来用仮配置、出生年は確定しない。越後の家の本拠圏を代替とする。
新城盛継|-|浪人|岩代国/安達郡|新城直継|二本松氏一門の直継の子で、後年の二本松城の活動圏を代替とする。1546年の所属・年齢が未確定のため浪人を仮設定。南部氏とは区別。
新城直継|-|浪人|岩代国/安達郡|新城村尚|二本松義国の弟・新城村尚の子という紹介を参照。二本松の本拠圏を代替とし、1546年の主従は不明のまま浪人を仮設定。
日根野弘勝|-|浪人|美濃国/*|日根野弘就|弘就の四男という系譜と美濃の家の地縁を参照。母・年代の整合に疑問を残し、後年の秀吉奉公を遡及しない。
吉田康俊|-|元服前|土佐国/安芸郡|吉田孝俊|1551・1565年の出生説はともに開始年より後。実父孝俊を照合し甲浦の後年の家の本拠を代替とする。
小幡信氏|-|浪人|上野国/北甘楽郡|小幡信高|小幡信高の子で後年の上野宮崎城・小幡氏の本拠圏を代替とする。甲斐の同姓と区別し1546年の所属不明の浪人を仮設定。
安藝家友|-|元服前|土佐国/安芸郡|安芸国虎|1562年安芸城主国虎の次男として出生した記事を採用。実父を照合し後年の山内家奉公を遡及しない。
渡辺成綱|-|元服前|三河国/*|渡辺守綱|紹介記事は1591年出生。実父守綱を照合し三河の家の出自を代替とする。
