# 名前|所属家ID（-は不明）|立場|配置地域（家のプール使用時は-）|根拠・留保
山田有信|shimazu|元服前|-|山田有徳の子、幼少から島津貴久に仕えたとする紹介を家族所属の推定根拠とする。出生台帳は1544年、本人の軍事出仕を開始しない。
成田長親|narita|元服前|-|成田泰季の子として成田家へ家族配置。紹介の1546年出生と台帳1545年が不一致のため出生前後は未確定。配置が開始時の存命確定を意味しない。
島清興|-|元服前|大和国/平群郡|平群郡島氏の出自説を採用。筒井氏家臣としての確かな活動は後年で、1546年の所属は不明のままとする。
村井貞勝|-|浪人|近江国/*|近江出身とする太閤記系の紹介を国単位の位置根拠とする。信長への奉公初見は1556年で、1546年所属・郡は確定しない。
大久保長安|-|元服前|播磨国/*|父の猿楽師大蔵信安が大和から播磨へ移り、そこで出生したとする紹介を採用。具体郡不明のため播磨内でゲーム抽選。後年の武田家奉公は遡及しない。
九戸政実|kunohe|元服前|-|九戸信仲の子として九戸氏の本拠圏へ家族配置。三戸南部氏との後年の主従・抗争を1546年にそのまま持ち込まない。
天野康景|matsudaira|元服前|-|天野景隆の子。1547年に幼少の家康に随行した記事と幼少期の小姓奉公から松平家の家族配置を推定。1546年の勤務開始は未確定。
渡辺守綱|-|元服前|三河国/額田郡|三河額田郡浦部出生の紹介を位置根拠にする。家康への後年の奉公開始を幼少期の所属に置き換えない。
斎藤利三|-|元服前|山城国/愛宕郡周辺（仮）|父を幕府奉公衆とし、京都白河の松山新介との初期関係を伝える紹介から京都近辺を暫定配置。斎藤義龍・明智光秀への後年奉公は遡及しない。
池田勝正|ikeda_settsu|元服前|-|池田長正の子とする系譜を家族配置に用いる。1539年出生説なら幼少、家督相続は1563年であり1546年当主にはしない。
古田重然|-|元服前|美濃国/*|1543・1544年の美濃出生説を採用。出自・父の所属には留保があり、郡は美濃内でゲーム抽選。
足利義栄|ashikaga_hirashima|元服前|-|1538年阿波平島出生、父は足利義維。1551年元服の記事に従い元服前。京都の将軍家と平島の家中を分離する。
鳥居強右衛門|-|元服前|三河国/宝飯郡|宝飯郡市田出生説を採用。長篠城での奥平家奉公が分かる1575年から1546年所属を推定しない。
真柄直隆|-|元服前|越前国/今立郡|今立郡真柄荘の在地一族という紹介を位置に採用。1536年出生説を採る既存台帳に従う。朝倉氏への軍役・客将関係は開始年不明。
塚原卜伝|-|浪人|常陸国/鹿島郡|鹿島神官卜部氏に生まれ塚原氏へ養子入りした紹介を地縁根拠とする。剣術指南先を主君とは扱わず、神官・兵法家の史料上の立場を残す。
加藤光泰|-|元服前|美濃国/多芸郡|多芸郡橋爪村出生説を採用。厚見郡今泉説もあり位置は暫定。斎藤龍興への奉公は後年。
戸川秀安|ukita|元服前|-|母が宇喜多忠家の乳母となり、1545年頃から直家に小姓として近侍したとする紹介を採用。幼少奉公はゲームの軍事出仕と分ける。
宇喜多忠家|ukita|元服前|-|宇喜多直家の弟として宇喜多家の本拠圏へ家族配置。1546年は幼少で、後年の補佐・隠居の役割は付けない。
奥村永福|oda_nobuhide|元服前|-|尾張中島郡出生、父祖が前田氏に奉公したとする家伝から、前田氏を含む信秀系の家族所属を暫定設定。本人の1546年奉公の証明ではない。
延沢満延|-|元服前|羽前国/北村山郡|野辺沢の在地氏族・延沢氏の地縁を採用。最上氏への服属は1584年で、1546年に最上家臣とはしない。
水野忠重|mizuno|元服前|-|水野忠政の子、信元の弟。1541年生の一門として水野家領内に家族配置。
清水康英|hojo|元服前|-|北条氏譜代の清水氏と父綱吉の奉公関係を家族所属の推定根拠とする。本人の1559年役帳所載を1546年の出仕と混同しない。
妙印尼|yura|大名家一門|-|由良成繁の妻で国繁を1537年に出産した系譜から、1546年は由良家の一門として配置。女性・妻の立場を5分類へ対応させたゲーム設定。
菅沼定盈|imagawa|元服前|-|1542年生、今川方の菅沼定村の子。1556年の家督相続以前のため、今川家の家族配置とする。
大内定綱|-|元服前|岩代国/安達郡|1545年塩松の大内義綱の子として出生。田村氏への後年の服属や石橋氏排除を1546年の所属にしない。
松田康郷|hojo|元服前|-|北条家臣松田康定の子として家族配置。1559年役帳の孫太郎に比定される後年活動とは区別する。
百武賢兼|-|元服前|肥前国/佐賀郡|戸田氏出身で後年龍造寺氏に仕えた人物。父の1546年所属と本人の奉公開始が不明のため、佐賀の後年の地縁だけをゲーム位置に採用。
成松信勝|-|元服前|肥前国/佐賀郡|龍造寺家での活動は後年の戦歴が中心。既存1540年出生説で元服前とし、佐賀の活動圏のみ仮配置の手掛かりにする。
小出秀政|oda_nobuhide|元服前|-|尾張中村出生、父が織田家臣とする紹介から中村を含む信秀系の家族配置を推定。織田内部の所属枝は直接確定できず、ゲーム上の暫定採用。
木下家定|-|元服前|尾張国/西春日井郡|尾張朝日村の杉原定利の子とする出生記事を位置に採用。秀吉の親族家臣となるのは後年で、1546年所属は不明。
土屋昌続|takeda|元服前|-|1544年生、武田譜代の金丸虎義の子。土屋氏の名跡継承以前の家族として武田家領内へ配置。
川上久朗|shimazu|元服前|-|島津家臣川上忠克の子として家族配置。紹介にある1553年の義久当主化という年次は整合しないため所属時期の証拠には使わない。
服部一忠|-|浪人|尾張国/海東郡|尾張津島の出自・地縁をゲーム位置に採用。生年は未詳で台帳の推定幅にも留保。信長家臣としての1560年の活動から1546年の所属を遡及しない。
丸目長恵|-|元服前|肥後国/八代郡|1540年八代出生、1555年父と初陣した紹介を採用。相良氏との1546年の奉公関係を確定せず、出生地域のみ配置する。
二階堂盛義 (二階堂照行の嫡男)|nikaido|元服前|-|二階堂照行の嫡男として須賀川の家族配置。出生年に台帳と紹介の差があるが、ともに1546年は未成年。後年の蘆名氏への従属は遡及しない。
上杉朝定|uesugi_ogigayatsu|大名|-|1537年家督相続後の扇谷上杉家当主。1546年河越で戦死するため、開始日の前後が未固定のまま配置し、自動出仕は無効にする。
滝川雄利|kitabatake|元服前|-|伊勢木造氏・北畠庶流の出自説を家族所属に暫定採用。僧籍からの還俗・織田側への服属は後年。出自自体の異説は留保。
戸田一西|-|元服前|三河国/渥美郡|三河赤岩の戸田氏出自説を位置に採用。牧野氏出身説もあり、1546年の養子縁組・主君を確定しない。
徳山則秀|-|元服前|美濃国/大野郡|1544年大野郡徳山村出生を採用。信長への後年奉公を遡及せず、出生地付近に置く。
杉原盛重|-|元服前|備後国/安那郡|神辺・山手杉原氏の地縁と、後年山名理興に属した記事を位置の手掛かりにする。1546年の本人の所属は不明、毛利家臣化を遡及しない。
蜂屋頼隆|-|元服前|美濃国/加茂郡|加茂郡蜂屋の出自説を採用。出自・初期記録に異同があり、別人の可能性がある1552年記事から所属を断定しない。
新庄直頼|-|元服前|近江国/坂田郡|父直昌が近江朝妻を本拠にした記事を位置根拠に採用。父は1549年戦死、浅井・六角との時点ごとの関係が未確定なので所属不明。
小幡信真|uesugi_yamanouchi|元服前|-|国峰の小幡憲重の子。父が武田へ転じる1553年以前の山内上杉方として家族配置し、後年の武田所属は使わない。
坪内利定|-|元服前|美濃国/羽栗郡|松倉出生説を採用。戦国期の尾張葉栗郡と後世の美濃羽栗郡に国郡の時代差があるため、現行マップの羽栗郡で表現する。所属は未確定。
伊木忠次|-|元服前|尾張国/西春日井郡|尾張清洲出生、香川氏の子とする紹介を採用。1561年の伊木城での活動から1546年の織田所属枝を断定しない。
山口宗永|-|元服前|丹波国/*|1545年生とされるが出生地不詳。後年の1589年頃の丹波山奉行という場所のある記録をゲーム代替地域として採用。幼少期の丹波居住を示す証拠ではない。
隈部親永|kumabe|大名家一門|-|隈部親家の子で親家の死は1550年とする紹介。1546年は当主ではなく一門として山鹿の本拠圏に配置。
田丸直昌|kitabatake|元服前|-|北畠庶流の田丸具忠の子として北畠家の家族配置。後年の織田・豊臣家奉公は反映しない。
村井長頼|-|元服前|尾張国/愛知郡|前田利久・利家との初期関係から荒子を地域候補とする。奉公開始年は不明で1546年の織田家所属には確定しない。
赤座直保|-|浪人|越前国/今立郡|確かな初見は1573年、府中周辺の所領記事を位置のみに採用。父子の朝倉奉公は推測で、生年未詳のため台帳の推定年齢を確定年齢とは扱わない。
原長頼|-|元服前|美濃国/*|美濃原氏・斎藤氏への初期奉公の紹介から美濃を地域候補とする。父頼房や奉公開始の時期が未確定で、具体郡はゲーム抽選。
阿部正勝|matsudaira|元服前|-|阿部定吉の子で、1547年幼少の家康への随行記事と父の奉公から松平家の家族として配置。本人の1546年軍事出仕は設定しない。
千坂景親|uesugi_echigo|元服前|-|越後守護上杉家に奉公した千坂景長の子。後年の謙信家臣という表示を1546年の長尾家所属に置き換えず、守護上杉家に家族配置。
西尾吉次|-|浪人|三河国/幡豆郡|父信光が三河西尾に移住したとする紹介を位置に採用。信長・家康への確かな活動は後年で、1546年の所属は不明。
阿閉貞征|-|浪人|近江国/伊香郡|北近江伊香郡の国人阿閉氏の出自を位置根拠に採用。浅井家への従属開始年が不明で、1570年代の軍役を1546年へ遡及しない。
遠藤基信|-|元服前|岩代国/信夫郡|伊達世臣家譜が伝える八丁目城下西光寺住職の子という出自説を採用。米沢・中野宗時への後年奉公は遡及しない。
禰寝重長|nejime|元服前|-|1536年禰寝清年の子として出生。大隅禰寝氏の家族として配置し、1561年以降の肝付氏への従属や1573年の島津帰属は1546年へ遡及しない。
小泉次大夫|imagawa|元服前|-|1539年駿河富士郡小泉郷出生、今川義元家臣植松泰清の子として家族配置。本人の用水奉行就任や徳川奉公は後年。
三好吉房|-|元服前|尾張国/海東郡|尾張海東郡の出自説を採用。出自に異説があり、三輪氏系譜や武功夜話のみで身分を確定しない。豊臣姻族となる以前の幼少配置。
兼松正吉|-|元服前|尾張国/丹羽郡|尾張葉栗郡島村出生とする紹介を位置根拠にする。葉栗郡が現行台帳にないため近辺の丹羽郡をゲーム代替とする。出生郡そのものの認定ではない。
松下之綱|-|元服前|三河国/碧海郡|1537年三河碧海郡松下郷出生を採用。頭陀寺城・今川奉公開始の時期は未確定で、同年代の秀吉を既に部下にしない。
生駒家長|-|浪人|尾張国/丹羽郡|小折の地縁を位置根拠とする。初期の主君は犬山の織田信清と伝わるが就役年は不詳。1546年の信秀系へまとめず所属不明を維持。生年推定にも留保。
梶原景宗|-|元服前|紀伊国/*|紀伊出身という紹介を国単位の位置根拠に採用。北条氏康に水軍の能力を認められた時期は不詳。元服前は既存1533年推定に基づくゲーム設定で、生年確定ではない。
八戸政栄|hachinohe|元服前|-|1543年八戸氏庶流の新田行政の子として出生。八戸家に家族配置し、八戸勝義の養子・1547年継承という記録を1546年の当主就任へ繰り上げない。
明智光忠|-|元服前|美濃国/可児郡|明智軍記系の明智光久の子という系譜を、明智城付近への仮配置にのみ採用。出自や初期戦歴は確実な史料が乏しく、光秀家臣化は遡及しない。
猪苗代盛国|ashina|元服前|-|猪苗代氏と蘆名氏の関係、1551年に蘆名盛氏の偏諱を受け元服した記事から、1546年は蘆名方一族の家族配置とする。
三宅康貞|-|元服前|三河国/*|父三宅政貞と母鳥居忠吉の娘という三河の系譜を国単位の位置根拠に採用。家康奉公は1558年からとされ、1546年の所属は未確定。
溝尾茂朝|-|元服前|美濃国/可児郡|土岐市史・可児町史に関連する美濃出身説を位置の手掛かりにする。確かな初見は1568年溝尾庄兵衛。三沢氏との同一人物説・親子比定を確定せず、明智家所属を遡及しない。
施薬院全宗|-|浪人|近江国/滋賀郡|幼少で僧籍に入り比叡山薬樹院にいた前半生を位置根拠に採用。僧侶・医師は5分類では浪人とし、後年の秀吉侍医の身分を使わない。
大舘尚氏|ashikaga|武将|-|足利義晴の申次・内談衆を務めた幕臣。出家名常興としての政務を5分類の武将に対応。死亡年不明・高齢の留保を残し、軍事指揮を裏付ける分類とはしない。
長綱連|hatakeyama_noto|元服前|-|能登畠山家重臣長続連の嫡男。家督相続は1567～1571年であり、1546年は家族配置のみ。
塩川長満|shiokawa|元服前|-|摂津国人塩川国満の子として川辺郡の本拠圏へ家族配置。三好氏への奉公・1568年織田帰属の年次を遡及しない。
九戸実親|kunohe|元服前|-|九戸政実の弟として九戸氏の本拠圏へ家族配置。晴政娘との婚姻や後年の南部家督争いを1546年に繰り上げない。
疋田景兼|-|元服前|加賀国/石川郡|加賀石川郡出生・上泉信綱の甥とする後世伝承を位置根拠に採用。生年・系譜は疑問が残り、長野氏への後年奉公は遡及しない。
小早川繁平|kobayakawa_numata|大名|-|1543年父正平戦死で沼田小早川家を継承。幼少でも家督保持を優先して大名とし、政務は家臣団、本人の出仕は無効。竹原小早川家とは別家中にする。
小島弥太郎|-|浪人|越後国/中頸城郡|妙高高原付近の出身伝承をゲーム位置に採用。同時代の軍役帳等で実在が確定せず、上杉・長尾の家臣所属は史実として設定しない。出仕は無効。
大内輝弘|-|浪人|豊後国/大分郡|大内高弘が大友氏の下へ亡命し豊後で生まれた記事を位置根拠に採用。1546年の正式家臣身分は確定せず食客・浪人扱い。大内本家の領内へ配置しない。
三戸景道|-|元服前|武蔵国/入間郡|初期に扇谷上杉氏に仕えたとする記事から河越周辺を位置候補に採用。三戸興義との世代混同説があるため1546年の所属を確定せず、元服前のゲーム配置。
三木通秋|miki_aga|大名|-|1544年元服・英賀三木氏家督相続とする記事を採用。年齢だけで元服前へ戻さず大名として配置。飛騨三木家とは分離する。
三木顕綱|miki|元服前|-|三木良頼の次男として飛騨三木家に家族配置。鍋山氏への養子入りと後年の家督は遡及しない。
三沢為清|misawa_izumo|大名|-|1540～1541年父為幸戦死後に幼少継承。1543年月山富田城攻めの途中で大内方から尼子方へ復帰した三沢家当主として配置。幼少のため本人の出仕は無効。
三田綱秀|mita_musashi|大名|-|青梅の三田氏当主として西多摩の本拠圏へ配置。山内上杉から北条へ属した時期が未確定のため、いずれかの主君へ決め打ちせず三田家を独立登録。
上条政繁|-|元服前|能登国/鹿島郡|越後守護上杉定実の子という旧説と能登畠山氏出身説が競合する。後者をゲーム位置候補に採用し、血縁・所属を確定しない。宮王丸との同定や1553年以後の人質記事は留保。
