# 人物|実父の照合名|父所属不明時の代替地域|採用根拠・留保
相良頼房|相良義陽|肥後国/球摩郡|実父義陽を照合し、系図上の義父忠房とは区別。人吉の家の本拠を代替配置とする。
稲葉正成|林政秀|美濃国/*|実父林政秀を照合し、義父稲葉重通とは区別。美濃の家の地縁を代替とする。
立花宗茂|高橋紹運|豊後国/西国東郡|実父高橋紹運（吉弘鎮理）を照合し、養父道雪と区別。筧城出生の地縁を豊後高田市の解説でも確認。
立花直次|高橋紹運|筑前国/御笠郡|宝満城出生の記事を採用。実父紹運を照合し、後年の立花姓から父を推定しない。
立花誾千代|立花道雪|筑前国/粕屋郡|実父道雪を照合。立花城の家の地縁を代替とする。元服前は今回のゲーム上の未登場区分で、本人の元服儀礼を認定するものではない。
筑紫広門 (上野介)|筑紫惟門|肥前国/神崎郡|実父惟門を照合。勝尾城周辺の家の本拠を参照。現行地図に基肄郡がないため近傍の神崎郡を代替とし、後年の降伏・仕官を開始時に遡及しない。
筒井定次|筒井順国|大和国/高市郡|実父は慈明寺順国（筒井順国）。慈明寺周辺の家の地縁を代替とし、養父順慶から所属を継承しない。
筒井順慶|筒井順昭|大和国/添下郡|実父順昭と筒井城の地縁を照合。後年の家督相続を開始時に遡及しない。
糟屋武則|父未確定（諸説）|播磨国/*|実父には志村某・粕谷則頼・糟屋忠安など諸説があり所属継承は保留。播磨出自の記事を代替配置に用いる。
細川忠利|細川忠興|丹後国/*|父忠興を照合。丹後出生の記事を代替とし、後年の肥後領有を遡及しない。
細川忠興|細川藤孝|山城国/*|実父藤孝を照合。京都の家の活動圏を代替とし、細川輝経との養子関係の議論は別に扱う。
細川興元|細川藤孝|山城国/*|実父藤孝と京都の家の地縁を照合。1564～1566年の出生異説を保持する。
結城朝勝|宇都宮広綱|下野国/河内郡|実父宇都宮広綱を照合し、養父結城晴朝と区別。宇都宮の家の本拠を代替とする。
結城秀康|徳川家康|遠江国/敷智郡|宇布見の出生地縁を採用。実父家康を照合し、養父秀吉・結城晴朝とは区別。
織田信孝|織田信長|尾張国/愛知郡|熱田の岡本邸出生の記事を採用。実父信長を照合し、養父神戸具盛と区別する。
織田信雄|織田信長|尾張国/丹羽郡|小折の生駒屋敷出生の地縁を採用。実父信長を照合し、北畠家への養子入りを遡及しない。
脇坂安元|脇坂安治|山城国/*|山城出生の記事を採用。父安治も今回対象として照合する。
脇坂安治|父未確定（諸説）|近江国/東浅井郡|脇坂庄出生の地縁を採用。安明を父とする表記と田附源（孫）左衛門を実父とする本文の差があり、父所属の継承は保留。
色部長実|色部勝長|越後国/岩舩郡|実父勝長と平林の家の本拠を照合。後年の家督相続を遡及しない。
茂庭良元|鬼庭綱元|岩代国/伊達郡|実父鬼庭綱元を照合し、養父八幡宗実と区別。茂庭・鬼庭の家の出自を代替とする。
蒲生氏郷|蒲生賢秀|近江国/蒲生郡|日野出生の記事を採用。実父賢秀を照合し、後年の伊勢・会津領有を遡及しない。
藤堂高清|藤堂虎高|近江国/犬上郡|実父虎高の三男という記事を照合。藤堂村の家の出自を代替とし、高虎の子とは扱わない。
藤堂高虎|藤堂虎高|近江国/犬上郡|藤堂村出生の記事を採用。実父虎高を照合し、後年の主君の変遷から所属を補わない。
蘆名盛隆|二階堂盛義 (二階堂照行の嫡男)|岩代国/岩瀬郡|実父二階堂盛義を、照行の嫡男として登録された人物（Q10880505）と照合。須賀川の家の地縁を代替とし、養父蘆名盛氏から所属を継承しない。
蜂須賀家政|蜂須賀正勝|尾張国/丹羽郡|宮後城出生の記事を採用。実父正勝を照合し、後年の阿波領有を遡及しない。
豊臣秀保|三好吉房|尾張国/*|実父三好吉房（木下弥助）を照合。尾張の家の出自を代替とし、養父秀長から所属を継承しない。
豊臣秀勝|三好吉房|尾張国/*|小吉秀勝として実父三好吉房を照合。尾張の家の出自を代替に用い、織田信長の子の於次丸秀勝と区別。
豊臣秀次|三好吉房|尾張国/*|実父吉房を照合。尾張の家の出自を代替に用い、宮部・三好・豊臣への養子入りを遡及しない。
豊臣秀頼|豊臣秀吉|摂津国/西成郡|父秀吉を照合。大坂の家の本拠を代替とし、現行地図の西成郡を使用する。豊臣家の後年の領地を開始時に持ち込まない。
遠藤慶隆|遠藤盛数|美濃国/郡上郡|木越城出生の記事を採用。実父盛数を照合し、継父長井道利と区別。
酒井家次|酒井忠次|三河国/*|実父忠次を照合。三河の家の地縁を代替とし、母方の松平家から直接所属を与えない。
酒井忠世|酒井重忠|三河国/幡豆郡|西尾出生の記事を採用。実父重忠を照合する。
酒井忠利|酒井正親|三河国/幡豆郡|実父正親を照合。西尾の家の活動圏を代替とし、本人の出生郡の確定とはしない。
野村祐勝|曽我一信|播磨国/*|実父曽我一信を照合。播磨の曽我・母里氏の家の地縁を代替とし、妻の野村氏から所属を与えない。
鈴木元信|父未確認|陸前国/志田郡|出自には米沢・京都・雑賀など諸説があり父は確認できない。後年の古川城と行政活動を地域の代用とし、伊達家への奉公を遡及しない。
鍋島勝茂|鍋島直茂|肥前国/佐賀郡|実父直茂を照合。石井生札の屋敷と佐賀周辺の出生地縁を代替とし、養父江上家種と区別。
長宗我部信親|長宗我部元親|土佐国/長岡郡|実父元親と岡豊の家の地縁を照合。後年の嫡子としての軍役を開始時に遡及しない。
長宗我部盛親|長宗我部元親|土佐国/長岡郡|元親の四男という記事を照合。岡豊の家の本拠を代替とし、後年の当主身分を遡及しない。
長岡休無|細川忠興|山城国/*|細川忠隆・長岡忠隆と同一人物として実父忠興を照合。京都の家の地縁を代替に用いる。
長束正家|水口盛里|近江国/栗太郡|長束村出生説を採用。実父水口盛里を照合し、後年の豊臣奉公を遡及しない。
阿部忠吉|阿部正勝|三河国/*|実父正勝を照合。三河の家の地縁を代替配置とする。
阿部正次|阿部正勝|三河国/*|実父正勝を照合。三河の家の地縁を代替とし、後年の岩槻入封を遡及しない。
阿部重次|阿部正次|三河国/*|父正次を照合。三河の家の出自を代替とし、養父三浦重成から所属を継承しない。
青山幸成|青山忠成|三河国/*|実父忠成を照合。三河の青山氏の地縁を代替配置とする。
青山忠俊|青山忠成|三河国/*|実父忠成を照合。三河の家の出自を代替とし、江戸での後年の役職を遡及しない。
青山忠成|青山忠門|三河国/*|実父忠門を照合。三河の家の地縁を代替に用いる。
頴娃久虎|頴娃兼賢|薩摩国/頴娃郡|実父兼賢を照合。頴娃の家の地縁を代替とし、後年の地頭職を開始時に遡及しない。
高橋紹運|吉弘鑑理|豊後国/西国東郡|筧城出生の記事を採用。実父吉弘鑑理を照合し、高橋家への継承後の姓から父を決めない。
鬼庭綱元|鬼庭良直|岩代国/伊達郡|実父良直と小屋館・赤館の家の地縁を照合。後年の茂庭改姓と区別。
鳥居忠政|鳥居元忠|三河国/*|実父元忠を照合。三河の家の地縁を代替とし、後年の山形領有を遡及しない。
鳥居成次|鳥居元忠|三河国/*|三河出生、元忠の三男という記事を照合。後年の甲斐での知行を遡及しない。
黒田一成|加藤重徳|摂津国/川辺郡|伊丹出生の記事を採用。実父加藤重徳と養父黒田孝高を区別。
黒田利則|黒田職隆|播磨国/飾東郡|姫路出生の記事を採用。実父職隆を照合。
黒田利高|黒田職隆|播磨国/飾東郡|実父職隆と姫路の家の本拠を照合。後年の豊前入封を遡及しない。
黒田長政|黒田孝高|播磨国/飾東郡|姫路城出生の記事を採用。実父孝高を照合し、後年の福岡領主身分を遡及しない。
龍造寺政家|龍造寺隆信|肥前国/佐賀郡|実父隆信と佐賀の家の本拠を照合。1578年の名目的な相続を開始時に遡及しない。
上杉定勝|上杉景勝|羽前国/南置賜郡|実父景勝を照合。米沢の家の本拠を代替とし、母に関する年代的に成立しない説は採用しない。
伊達宗実|伊達政宗|陸前国/宮城郡|実父政宗を照合。仙台の家の本拠を代替とし、養父成実から所属を継承しない。
伊達宗泰|伊達政宗|山城国/紀伊郡|伏見屋敷出生の記事を採用。実父政宗を照合し、後年の岩出山領有を遡及しない。
伊達宗清|伊達政宗|陸前国/黒川郡|実父政宗を照合し、養父飯坂宗康と区別。吉岡の後年の本拠を地域の代替に用いる。
伊達忠宗|伊達政宗|陸前国/宮城郡|実父政宗を照合。仙台の家の本拠を代替とし、本人の出生郡の確定とはしない。
保科正之|徳川秀忠|武蔵国/豊島郡|実父秀忠を照合し、養父保科正光と区別。江戸の家の地縁を代替に用いる。
前田光高|前田利常|加賀国/石川郡|実父利常を照合。金沢の家の本拠を代替とし、後年の加賀支配を開始時に持ち込まない。
原田宗輔|原田宗資|陸前国/柴田郡|船岡城出生の記事を採用。実父宗資を照合し、母方の伊達・鬼庭関係から所属を与えない。
奥平忠昌|奥平家昌|下野国/河内郡|父家昌と宇都宮の家の地縁を照合。7歳での後年の相続を開始時に遡及しない。
安藤重長|本多正盛|上野国/西群馬郡|実父本多正盛を照合。後年の高崎の活動圏を地域の代替とし、養父安藤重信の所属は継承しない。
小笠原長次|小笠原忠脩|信濃国/東筑摩郡|実父忠脩を照合。松本の家の本拠を代替に用いる。父の戦死後に出生した人物で、養育者の叔父忠真からは所属を継承しない。
山内忠豊|山内忠義|土佐国/土佐郡|実父忠義を照合。高知周辺の後年の家の本拠を代替とし、本人の出生郡の確定とはしない。
島津光久|島津忠恒|薩摩国/鹿児島郡|父の家久は忠恒の改名後の名として照合し、貴久の子の家久と区別。鹿児島出生の地縁を代替とする。
徳川家光|徳川秀忠|武蔵国/豊島郡|江戸城西の丸出生の記事を採用。実父秀忠を照合し、後年の将軍身分を遡及しない。
徳川忠長|徳川秀忠|武蔵国/豊島郡|江戸城西の丸出生の記事を採用。実父秀忠を照合し、誕生日の異説は保持。
徳川義直|徳川家康|山城国/紀伊郡|実父家康を照合。伏見の家の地縁を代替とし、後年の尾張領有は遡及しない。
徳川頼宣|徳川家康|山城国/紀伊郡|伏見城出生の記事を採用。実父家康を照合し、後年の紀伊領有は遡及しない。
徳川頼房|徳川家康|山城国/紀伊郡|伏見城出生の記事を採用。実父家康を照合し、後年の水戸領有は遡及しない。
柳生三厳|柳生宗矩|大和国/添上郡|柳生庄出生の記事を採用。実父宗矩を照合し、十兵衛の通称と同一人物として扱う。
真田幸昌|真田信繁|紀伊国/伊都郡|実父信繁を照合。九度山蟄居中の出生記事を地域の代替に用い、開始時に蟄居状態や出仕を追加しない。
有馬康純|有馬直純|肥前国/南高来郡|日野江・原城出生の記事を採用。父直純を照合し、後年の延岡領有を遡及しない。
有馬忠頼|有馬豊氏|丹波国/天田郡|父豊氏を照合。福知山の家の当時の本拠を代替とする。肥前有馬氏とは別系統として扱う。
本多忠義|本多忠政|伊勢国/桑名郡|父忠政を照合。桑名の家の本拠を代替とし、本人の出生郡の確定とはしない。
本多政勝|本多忠朝|上総国/夷隅郡|実父忠朝を照合し、養父政朝と区別。大多喜の家の本拠を代替に用いる。
松平乗寿|松平家乗|美濃国/恵那郡|大給松平家の実父家乗を照合。岩村の後年の家の本拠を代替に用い、出生地点を確定しない。
松平定房|松平定勝|遠江国/佐野郡|父定勝を照合。掛川の家の本拠を代替に用いる。
松平定政|松平定勝|遠江国/佐野郡|実父定勝を照合。掛川の家の本拠を代替とし、後年の刈谷領有を遡及しない。
松平直基|結城秀康|越前国/足羽郡|北庄城出生の記事を採用。実父秀康を照合し、養育者結城晴朝から所属を継承しない。
松平直政|結城秀康|越前国/足羽郡|実父秀康を照合。北庄の家の本拠を代替とし、母の系統に関する異説は保持する。
